an adjusting entries for unearned revenue affects | revenue and liabilities
how will it affect total assets in the balance sheet if tangible fixed assets are not depreciated at the end of the period? | total assets are overstated
how will it affect income statement if an accrued expense of $450 is forgotten to record at the end of the period? | net income in the income statement will be overstated for $450
what accounting principle requires credit sales revenue also included in the income statement? | accrual basis
which kind of account is accumulated depreciation? | contra - asset account
where is accumulated depreciation reported? | balance sheet
which statement is true about mary's capital: | the owner's equity account that contains the amount invested in the sole proprietorship by mary smith plus the net income since the company began minus the draws made by mary smith since the company began.
which account of these accounts will be presented in post-closing trial balance? | retained earnings
adjusting entries at the end of an accounting period would not be required for which of the following? | revenue that has been earned and recorded in the accounting records
at the end of the current accounting period, johnson company failed to record utilities consumed during the period. johnson will be billed for the utilities during the next accounting period. as a result, current period liabilities, and income, respectively, are | understate, overstate
how will the financial statements be affected if accountant in the company forgot to adjust a prepaid expense account at the end of the period? | assets in the balance sheet will be overstated and expenses in the income statement will be understated
the following transactions, among others, occurred during august. which transaction represented an expense during august | rent a space for office on account. the rental amount will be paid in the next 2 months
how many accounts does every business transaction affect at least? | 2
which type of information would be of most interest to creditors? | ability of the company to pay debts
the account used to record the investment of owner into the business is: | the owner's contributed capital account
if assets are $199,000 and liabilities are $132,000, then equity equals | $67,000
provide descriptions for this transaction:debit inventory $8,000 and credit account payable $,8000 | buying inventory on credit $8,000
failure to make adjusting entries for prepaid expense will result in | understatement of expenses
the company buys a new car for personal use of the owner is recorded with below entry: | credit cash and debit withdrawal
which of the following errors would result in the trial balance still balancing? | posted $500 to each account instead of $5000
the adjusting entry to record the earned but unpaid salaries of employees at the end of an accounting period is: | debit salaries expense and credit salaries payable
identity the consequences of not making adjustment for accrued expense | understatement of liabilities
the company buys a new building for operation is recorded with below entry: | credit cash and debit equipment
a cash outflow from the company into its owner is called a(n): | withdrawal
liability created by purchasing goods and services on credit are: | accounts payable

how does lead company record by the billing of a client for $15,000 of service completed? | +$15,000 accounts receivable, +$15,000 revenue
moffat company has assets of $600,000, liabilities of $250,000, and equity of $350,000. what is the entry need to record when moffat company bill of a client for $25,000 of contract completed? | +$25,000 accounts receivable, +$25,000 revenue.
a company might buy a service or product on credit. "on credit" implies that the cash payment will occur: | on a later date
provide descriptions for this transaction:increase cash $1,000 and increase equity $,1000 | investment of cash in business by owner or performed services for cash
provide descriptions for this transaction:increase cash $4,000 and increase contributed capital $4000 | investment of cash in business by owner
provide descriptions for this transaction:debit office supplies $8,000 and credit  liability $,8000 | buying office supplies on credit $8,000
provide descriptions for this transaction:decrease cash $3500 and decrease equity $3500 | withdraw cash from the business by owner or paid cash for an expense 
items used in business operations, such as office pens and  paper are several samples of: | office supplies
the difference between a company's assets and its liabilities, or net assets is: | equity
resources owned or controlled by a company that are expected to yield future benefits are: | assets
zion company has assets of $600,000, liabilities of $250,000, and equity of $350,000. it buys office equipment on credit for $75,000. what would be the effects of this transaction on the accounting equation? | assets increase by $75,000 and liabilities increase by $75,000.
internal users of accounting information include: | managers.
a chart of accounts generally starts with which of the following types of accounts? | asset accounts
which of the following is a liability? | account payable
if a company paid $38,000 of its accounts payable in cash, what was the effect on the assets, liabilities, and equity? | assets would decrease $38,000, liabilities would decrease $38,000, and equity would not change.
assets created by selling goods and services on credit are: | accounts receivable.
a payment to an owner for personal use is called a(n): | withdrawal.
the properties used in operation activities of a business is called: | assets
which of the following is a liability? | note payable
which of the following is not considered as subcategory of owner�s equity? | assets
which of the following is not a liability? | short term investment
which of the following is not a category or element of the balance sheet? | expense             
the account used to record the transfers of assets from a business to its owner is: | the owner's withdrawals account.
reflects assumption that the business will continue operating instead of being closed or sold. | going-concern assumption 
a company must record its expenses incurred to generate the revenue reported at the same period.it is about: | matching principle 
which is the assumption stating that a business is accounted for separately from other business entities, including its owner? | business entity assumption 
which are expected to be sold, collected or used within one year or the company�s operating cycle? | current assets
flash has beginning equity of $257,000, net income of $51,000, withdrawals of $40,000 and investments by owners of $6,000. its ending equity is: | $274,000
which of the following statements is true about assets? | all of these
net income: | is the excess of revenues over expenses
decreases in equity that represent costs of assets or services used to earn revenues are called: | expenses
accounting is an information and measurement system that: | all of these.
which of the following accounting principles would require that all goods and services purchased should be recorded at cost? | cost principle
external users of accounting information include: | all of these.
