which of these characters can be included within the text in an xml document in literal form? | ; & : -
xml parser checks for validity and well-formed ness? | true
which of the following is/are optional in the creation of an xml file? | entities
a descendant having a new namespace cannot override the namespace defined by the parrent element? | false
parameter entities use ampersand (&) and semicolon (;) as delimiters? | false
xml developer has to ensure the uniqueness of the element names and attributes in a document? | true
xml is transformed only via xslt? | false
browser has the ability distinguish duplicate element names in an xml document? | false
which of these is a valid comment in xml? | <!- -this data should be hidden<firstname>joe</firstname> <lastname>johnson</lastname>- ->
what does the keyword system indicate in the following code?<?xml version =”1.0”?><!doctype book system “book.dtd”> | book.dtd is an external dtd
which of the following statements is not true? | entities that appear anywhere in an xml document are referred to as parameter entities
external dtds use the keyword url to specify the location of the dtd? | false
for each element type associated with a sequence element, there must be an element in the xml instance in the same order? | true
specifies that the attribute cannot be used? | prohibited
an xml schema defines whether an element is empty or can include text. | true
in schema, the all element requires that | each element in the group must occur at most once
the default value for the minoccurs attribute in schema is 0 | false
which top level xslt elements is used to define a variable in a stylesheet or template and to assign it a value | xsl:variable
xpath can be thought of as a query language like sql | true
which of these is the correct syntax to link an xsl file to an xml document? | <?xml-stylesheet type="text/xsl" href="candidate.xsl"?>
xslt takes two things as input: an xslt stylesheet and an xml input document | true
which of the following selections is the proper way to apply this css rule: .blue { color: blue } | <p class = "blue">
in css, when a style is applied to an element containing other elements inside it | the style is applied to the element and all the other elements contained in it
in dom, a node can have | more than one children nodes
tree model is applied to static documents? | false
method haschildnodes of xmldomnode mean | determine if a given node has child nodes or not
with reference to the snippet of code given below, choose the correct syntax to complete the second line in order to create a xml document object var sample sample = | new activexobject("microsoft.xmldom")
which object represents the top level of the xml source? | domdocument
in sax, to provide customized dtd handling, application need to implement | dtdhandler
sax uses | push parsing machenic for processing
the stax cursor api represents | a cursor with which you can walk an xml document from beginning to end.
sax support random access | false
method characters() of contenthandler interface receives events for | character data
what is the value of num after the following statement is performed?num = math.round( 2.45 ); | 2
a procedure for solving a problem in terms of the actions to be executed and the order in which these actions are to be executed is called ________. | an algorithm
which of the following is not required for counter-controlled repetition? | sentinel
which of the following statements regarding filters and transitions is false? | they are applied on a client computer at run time by the server.
a program in which all statements are executed one after the other in the order in which they are written exhibit ________. | sequential execution
________ and ________ run slower when they are applied to large arrays. | linear search, bubble sort
what is the value of s3 after the following code is executed?var s1 = one, s2 = two, s3 = three; s1.concat(s2) s3 = s1; | onetwo
what is xml? | extensible markup language
which statement about xml is true? | elements may nest but not overlap
what is the correct declaration syntax for the version of an xml document? | <?xml version="1.0" ?>
how is an empty xml element defined? | all of the above.
which syntax is used to insert comments into an xml document? | <!this is a comment>
what does dtd stand for? | document type definition.
which statement is true? | all xml elements must be properly closed
which statement is true? | all of the above.
which is not a correct name for an xml documents? | <1dollar>
which is not a correct name for an xml element? | <first name>
what does xsl stand for? | extensible stylesheet language
what is a correct way of referring to a stylesheet called "mystyle.xsl”? | <?xmlstylesheet type="text/xsl" href="mystyle.xsl"?>
for the xml parser to ignore a certain section of your xml document, which syntax is correct? | <![cdata[ text to be ignored ]]>
xml is a _______ recommendation | w3c
xml is | free and extensible
xml is a complement to | html
xml schema is designed to | be selfdescriptive.
xml uses | an xml schema to describe the data
xml can be used to | create new language.
xml is the mother of | wap and wml
xsl stands for: | extensible stylesheet language
the world wide web consortium (w3c) started to develop xsl because there was a need for: | xmlbased stylesheet language
xsl ________ how the xml document should be displayed! | describes
xsl consists of three parts. which are? | xslt, xpath, xslfo
xsl processors do parses the xml source and tries to find out the matching _______ rule. | template
_____ in xsl do allow the element to be processed for multiple times, each time producing different result. | modes
templates are been ordered according to their ________ which can be specified with the priority attributte. | priority
an attributes can be accessed in the way similar to the elements. notice ____ in front of the attribute name. | @
which of these axes which are used in xsl? | grandparent
a _____ instruction do contains the template, which is been applied to each node selected with the select attribute. | xsl:foreach
the xsl:element generates the elements in at time of processing. | true
the xsl:attribute do generates the elements in the time of processing. | true
the copy and _______ constructs are used for the nodes copying. | copyof
the ____ instruction do enables the conditional processing. | xsl:if
the xsl:choose element is used for the purpose of selection between the several possibilities. | true
an xsl:numbers do inserts a formated numbers into the ______ . | output
stylesheet can do have ____ variables with the same name. | several
value of the local variable is bounded to which element | xsl:when
a _____ function returns number of nodes present in an argument nodeset. | count
"position" function do returns the number equal to context position | true
dtd is: | document type definition
it defines the document structure with a list of _______. | legal elements
dtd defines the document structure with a list of legal elements. | true
a dtd can be declared inline in your xml document, or as an | external reference
