which of these following items are benefits of e-learning? hint: choose multiple answers (3) | ,lower cost,greater flexibility,more effective learning
how many type of e-commerce do you know? typing these names of them! | 4
to evaluate, how many dimensions of e-commerce we will use? | 3
what does c2b stand for? hint: capitalize the first letter of each word. e.g: if nic, you need to enter network interface card only. | consumer-to-business
electronic market (e-marketplace) | an online marketplace where buyers and sellers meet to exchange goods, services, money, or information
brick-and-mortar organizations | old-economy organizations (corporations) that perform their primary business offline, selling physical products by means of physical agents
virtual (pure-play) organizations | organizations that conduct their business activities completely online
click-and-mortar organizations | organizations that conduct some e-commerce activities, usually as an additional marketing channel
how many common types of revenue model existing in e-commerce? | 5
how many main steps are existing in a generic purchasing-decision model in e-commerce? | 5
select the correct answer from the choices below to fill in blank. click in to figure to see the blank | customize
choose the right types and activities in knowledge management (km) hint: choose multiple answers (6) | ,create,capture,refine,store,manage,disseminate
select the correct definition of "spot buying" term from the choices below | is the purchase of goods and services as they are needed, usually at prevailing market prices
a company allows peoples to watch a sports competition in real-time for a fee. so that companys revenue follows: | subscription model
a technology that is used to electronically transfer routine documents, such as invoices and purchase orders, and for financial transactions is _____. | electronic data interchange
the most common and traditional form of auctions in which one seller entertains bids from many buyers is referred to as: | forward auctions.
a mode is purchasing where prices are negotiated or discounted is _____, which refers to nonfixed prices, such as those in auctions or stock markets. | dynamic pricing
software tools that scout the web for stores that sell similar items at low prices are called _____. | shopping portals
broadly, ______ refers to marketing that takes place without intermediaries between manufacturers and buyers; or marketing done online between any seller and buyer. | direct marketing
to avoid getting false information from participants of online surveys, marketers learn about customers by observing their behavior using each of the following except: | data mining to analyze clickstream data.
_______ is the direct purchasing from internal marketplaces without the approval of supervisors and without the intervention of a procurement department. | desktop purchasing
an exchange that handles materials used by companies in different industries is referred to as a ____________________ | horizontal exchange
one of the most important issues in implementing e-government is_________________ | its adoption and usage by citizens
the major benefit of an dss is _________________ | in easier decision making
the primary advantage that e-books offer publishers is: | lower production, marketing, and delivery costs.
the major enterprise mobile applications are all of the following except: | research and development
characteristics of mobile devices that create special requirements that hardware and software designers need to anticipate when designing mobile computing systems include all of the following except: | broad bandwidth
choose the right term with the following description: the use of digital technologies that enable companies to collaboratively plan, design, develop, manage, and research products, services, and innovative ec applications | collaborative commerce (c-commerce)
a firm that operates both physical stores and an online e-tail site is said to be a click-and-mortar business selling in a _____. | multichannel business model
which of the following e-commerce model conduct almost through out wireless network or portable device? | m-commerce
______ is the electronic delivery of newspapers, magazines, books, videos, music, and other digitizable information over the internet. | online publishing
amazon e-commerce system is an example of _____________ | pure-play e-tailers
there are two statements: statement a: wap stands for wireless application protocol statement b: voip stands for video over internet protocol which of the statements is/ are correct? | a is true, b is false
in e-commerce framework, the policy part is belonged to _________________ | support services layer
the major _____ e-marketplaces are storefronts and internet malls. | b2c
which of the following is not a standard used in e-commerce? | ifi
which of the following wireless technology has the lowest coverage of signal? | wifi
which of the following network type has the largest range of geography implement? | wan
basic marketing model is based on 4p factor. there are product, price, promotion, and __________ | place
which of the following item is not included in the four major categories of e-government services? | government-to-customers
digital signature is based on _______________ | public key infrastructure
an e-tailer uses cookies to identify returning customers and to provide suggested products for purchase based on prior shopping behavior. this is an example of: | personalization.
social class, lifestyle, personality, and activities are descriptors used in _____ market segmentation. | psychographic
in chapter 8 - marketing and advertising in e-commerce, aida model is mentioned and used to analyze their differences in illustrating an online purchasing behavior. what does the second a in aida stand for? | action
which of the following items drivers of m-commerce? hint: choose multiple (3) answers | ,the handset culture,improving bandwidth,improved price/performance
which of the following case-study is opening case of chapter 8 - "marketing and advertising in e-commerce"? | netflix increases sales using movie recommendations and advertisements
which of the following are main major characteristics of web 2.0? hint: choose multiple (3) answers | ,rich user experience,user participation,collaborative
social media | the online platforms and tools that people use to share opinions, experiences, insights, perceptions, and various media, including photos, videos, and music, with each other
social marketing | a combination of social policy and marketing practices to achieve a set of social behavioral goals within a target audience
social capital | a sociological concept that refers to connections within and between social networks. the core idea is that social networks have value. just as physical capital or human capital can increase productivity (both individual and collective), so can social contacts affect the productivity of individuals and groups.
social media marketing | a term that describes use of social media platforms such as networks, online communities, blogs, wikis, or any other online collaborative media for marketing, market research, sales, crm, and customer service.
which of the following term is correct with the description paragraph: "a term coined by mark zuckerberg of facebook, which originally referred to the social network of relationships between users of the social networking service provided by facebook. the idea was for facebook to benefit from the social graph by taking advantage of the relationships between individuals that facebook provides, to offer a richer online experience. this definition was expanded to refer to a social graph of all internet users." | social graph
which of the following are benefits of social commerce to the consumer and to vendors? hint: choose multiple answers | ,customers' expectation can be meet in fully and quickly.,increate trust via direct conversations.,target advertisements more accurately
arrange the following items in the correct order of the ec order fulfillment process (beginning step at top, and ending step at the bottom) | ,making sure the customer will pay,checking for in-stock availability,arranging shipments,replenishment,contacts with customers
select the correct answer from the choices below which is corresponding with the following statement in strategic planning tools" : it is a methodology that surveys external opportunities and threats and relates them to internal strengths and weaknesses. | swot analysis
key business drivers for b2b are all of the following except: | the willingness of companies to incur higher costs to improve collaboration.
which of the following is an example of g2c ? u.s. census: co quan di`u tra dn s cu?a mi~ chamber of commerce: pho`ng thuong ma?i mi~ | a driver applies for and pays for the renewal of his auto tag online.
with __________, a business sells to a business but delivers small quantities to customers of the buying business. | b2b2c
a company-based acquisition site that uses e-procurement methods such as reverse auctions, negotiations, or group purchasing to overcome the manual searching of e-stores and e-malls, is referred to as a(n) ________ | buy-side e-marketplace.
benefits of e-procurement over traditional procurement methods include all of the following except: | increasing the skill requirements and training needs of purchasing agents.
a single company that deploy an e-commerce system by build up a website where their services are sold. what kind of ec system they have? | storefront
flappybird is a game that allows peoples to play games for free. so that case study follows: | none of the others
which is incorrect about company-centric marketplaces term? | it is a public marketplace entities owned by that company.
when a good or service is promoted, the purpose of the promotion is to inform, persuade, or remind customers. | true
when a tee shirt manufacturer states, "we only sell it in black because that way we can buy plenty of black fabric and run our plant efficiently," their statement reflects the views that were popular in which era of the evolution of marketing? | production-oriented
jami sells construction equipment. whenever she calls on her building contractor customers, she asks if they are having any problems. in doing so, jami is addressing which of the following core aspects of marketing? | satisfying customer needs and wants
auction sites like ebay have increased opportunities for __________ marketing. | c2c
all of the following are examples of e-government except: | a company sells army and navy surplus supplies at auction over the internet.
government-to-employee applications can lead to significant efficiency improvements for all of the reasons except: | most government employees use handheld digital devices.
one of the most important issues in implementing e-government is: | its adoption and usage by citizens.
all of the following are advantages of e-learning except: | college professors are anxious to develop new online courses.
a retail company that sell directly to consumers over the internet without maintaining a physical sales channel. that is a example of _______________ | pure-play e-tailers
in scm, the supply chain of a manufacturer ends when______________ | the product is used
when the works of sale employees are recorded in real time, the organization benefits through each of the following except: | more extensive collaboration and sharing of customer leads
purchases of goods and services based on long-term contracts is referred to as: | strategic sourcing
__________ is commonly used to broadcast public lectures and e-seminars, promote the work of new or unknown musicians, and broadcast international entertainment activities | webcasting
a type of e-book referred to as the ____________ is a truly multimedia, online-only book that has hyperlinks, three-dimensional text and display, graphics, audio, and video. it supports nonlinear exploration of topics. | rubics-cube hyperlink book
risks in corporate blogging include all of the following except: | the risk of disciplinary action against abusive bloggers.
which of the following is incorrect about edutainment? | some adult games like doom, grand theft auto, are example of edutainment.
in e-commerce, what do plm and voip stand for? statement a: plm stands for product life management statement b: voip stands for voice over internet protocol choose the right answer from the two statements! | statement a is false, and statement b is true
when a car manufacturer sells trucks, cars, and car parts to the government or military, this is an example of b2c marketing. | false
supply chain management involves integrating the efforts of: | all of these.
the price of a product: | all of them are correct.
in the context of ec, __________ are electronic trading-community meeting places for many sellers and many buyers, and possibly for other business partners. | exchanges
the power adapters dell sells with its computers are built by small companies who specialize in power-related accessories. dell and the power adapter manufacturers are engaging in b2b marketing. | true
what is not a major benefit of m-commerce? hint: choose two answers | ,reduces time utilization and productivity of mobile employees,increases time to order
arrange the following items in the correct order of knowledge management (start at the top, end at the bottom) | ,create and capture,refine,store,manage,disseminate,assess and evaluate
choose the right term corresponding with the following statement: "it is a method of e-commerce where shoppers friends become involved in the shopping experience; social shopping attempts to use technology to mimic the social interactions found in physical malls and stores" | social shopping
choose the best type from the following option: uber, or grabtaxi are example of _______ | l-commerce
which of the following term is the best description for the figure? | e-government
a new type of e-commerce refers to the localization of products and services through mobile device and context aware computing technologies is called ___________ | l-commerce
ford's strategy is best described as: see figure | direct marketing from a manufacturer.
which of the following content are benefit of e-learning? hint: choose multiple answers | ,reduces travel time and travel costs for off-campus students,self-paced learning modules allow students to work at their own pace
the term ___________ refers to the number of times users call up a page that has a banner on it during a specific period. | ad view
the term ___________ refers to the number of distinct individuals requesting pages from the website during a given period, regardless of how often they visit. (visits refers to the number of times a site is visited, no matter how many unique visitors make up those sessions.) when an individual goes to a website on tuesday, then again on wednesday, this is recorded as two visits from one visitor (if the time period being measured is e.g. a week or month). | unique visitor
the risks of e-mail advertising management include all of the following except: | measuring e-mail advertising effectiveness
the term ___________ refers to the way of measuring the success of an online advertising campaign for a particular website as well as the effectiveness of an email campaign by the number of users that clicked on a specific link. | click through rate
___________ is an advertising strategy that uses word-of-mouth marketing in which customers promote a product or service by telling others about it. | viral marketing
a(n) _____________ is an online third party that brokers b2b transactions between a buyer and seller. | intermediary
purchases of goods and services based on long-term contracts is referred to as______ | strategic sourcing
in e-commerce b2b context, what does prm stand for? see figure | partner relationship management
non-production materials such as equipment and tools that support production are called: | indirect materials
indirect materials are typically used in __________________ activities. | maintenance, repair, and operation (mro)
which of the following term is correct with the following statement: "develops knowledge of the internet and computers skills that will help learners throughout their lives, careers and they can study anywhere they have access to a computer and internet connection". | e-learning
customink is a virginia-based online retail company that enables customers to design and order custom apparel such as t-shirts and sweatshirts. customers can upload their own art, or use the site's design tools to create a design and order the customized product. see figure which of the following item(s) are benefits of their e-commerce? hint: choose multiple answers (3) | ,website allows people to choose from customink's design ideas, clipart, fonts and colors, or upload their own images to be printed on items including apparel, bags, drinkware and office supplies.,artists review each design, and email the customer a picture proof of how the design will print.,depending on the desired quality and quantity of the item, their staffs performs screen printing, digital printing, and embroidery services.
wal-mart and levi strauss collaborate on demand forecasting in order to optimize the flow of materials along the supply chain. this is an example of _____________ | collaborative planning, forecasting and replenishment (cpfr)
marketing that takes place without the help of intermediaries is called: | direct marketing.
which of the following content is not the benefits of e-government? commonwealth: khu v?c th?nh vu?ng | reduced access to information. it reduces a greater amount of information to businesses and provides it in a more organized and accessible manner.
in direct marketing: | sales are made in malls only.
