___ annotation is used to specify URI of the resource | @path
___ exists outside the content of a document | an external dtd
___ is an artificial and informal languege that helps programmers develop algorithms | pseudocode
___ method is called before servlet process ends | destroy()
___ method is called to process request | service()
___ types of relationships can exist between entity beans | seven
____ allows you to map xml context to and from java objects | jaxb
____ allows you to randomly access stuff in the document unlike SAX | jaxb
____ are small java classes that process HTTP request and return HTTP responses | servlets
____ is a java api for xml parsing | sax
____ is a text based language | xml
____ method is called so that the servlet can access information about the servlet container | getservletconfig()
____ method is called so that the servlet container can access information about the servlet | getservletinfo()
_____ can be used to validate xml documents | schemas
_____ in XSL do allow the element to be processed for multiple times, each time producing different result. | modes
_____ method is called when the servlet starts | init()
______ and ______ are both new XML-related technologies that extend or borrow from XPath. | xpointer & xquery
_______ can validate your XML against a DTD | internet explorer 5.0
________ allow you to specify the style of your page elements (spacing, margins, etc.) separately from the structure of your document | cascading style sheets
________ and ________ run slower when they are applied to large arrays. | linear search, bubble sort
________ are declared in each individual HTML element using the keyword STYLE. | inline styles
________ can validate your XML against a DTD. | internet explorer 5.0
________ fires when the right mouse button is clicked. | (b) oncontextmenu
________ is a markup language for describing how content is rendered and ________ is a markup language for describing structured datacontent is separated from presentation. | html, xml.
________ is a technology that allows a server-side script to create dynamic content that is sent to the clients browser | asp
________ is a very powerful language and the mother of all markup languages. | sgml
________ is an artificial and informal language that helps programmers develop algorithms. | pseudocode
________ is the well-known host name that refers to your own computer. | a. localhost
________ makes it now possible for data manipulation to be shared by the server and the client. | d) all of the above
________ was originally created by ________. | d. javascript, netscape
_________ are data structures consisting of related data items (sometimes called collections of data items). | arrays
_________ is a term used about text data that will be parsed by the XML parser. | pcdata
_______________ sends a request to an object and includes the result in a JSP file | <jsp:include>
_________________ provides a way to identify a user across more than one page request or visit to a Web site and to store information about that user. | a. session management
___________________ includes a static file in a JSP file, parsing the file's JSP elements | include directive
______and _______methods do not apply to stateless session beans. | ejbactivate()
___, ____ annotations are used to specify data format to be sent out or recieved | @produces, @consumes
- JSP engine loads the JSP page from disk and converts it into a servlet content. | - jsp engine compiles the servlet
"*/*" this syntax used in XSL will search all the elements that are the grandchildren of the root. | false
"/" in the beginning of the XSL declaration indicates that: | this node applies to the root level node of xml document
"Position" function do returns the number equal to context position | true
* by itself applied to ch09_01.xml just picks out the <states> element. * selects all element children (not grandchildren or any descendents) | of the context node, and when you open ch09_01.xml, the root node is the context node.
&lt;, &gt;, &amp;, &apos;, &quot; | these are the five predefined entity references
#PCDATA refers to | parsed character data
#REQUIRED attributes value means: | the attribute value must be included in the element
#REQUIRED specifies that an element is required in all XML documents that use the DTD. | false
< SCRIPT LANGUAGE = " " > var theArray = [ 1, 2, 3, 4, 5, 6, 7, 8, 9 ]; modifyArray( theArray[ 3 ] ); document.write( theArray.join( " " ) ); function modifyArray( i ) { i = 11; }</SCRIPT> What will the browser display if the following script is executed? | 1 2 3 4 5 6 7 8 9
< SCRIPT LANGUAGE = "JavaScript" > var theArray = [ 1, 2, 3, 4, 5, 6, 7, 8, 9 ]; modifyArray( theArray[ 3 ] ); document.write( theArray.join( " " ) ); function modifyArray( i ) { i = 11; }</SCRIPT> What will the browser display if the following script is executed? | 1 2 3 4 5 6 7 8 9
<!-- WELCOME.xml --> <?xml version = "1.0"?> <!DOCTYPE WELCOME SYSTEM "hello.dtd"> The following code indicates that the DTD is: | an external dtd
<!DOCTYPE root-element [element-declarations]> | data
<!ELEMENT A((B,C) | identify what the statement indicates
<!ELEMENT Circle EMPTY> <!ATTLIST Circle radius CDATA "20"> The following code indicates that the circle is defined as an empty element,with the radius attribute having a default value of 20 and type CDATA. | true
<!ELEMENT do(message+)> The "+" sign indicates that the child element 'message' must occur at least once inside the do element. | true
<!ELEMENT element-name (child-name )> Identify the sign to be placed in the syntax above so that it declares that the child name can occur zero or one time inside the element. | ?
<!ELEMENT element-name category> | #pcdata
<!ELEMENT trial (targets+, source,title+,message*,#PCDATA)> The above example declares that the element trial must contain: | at least one 'target', exactly one 'source', at least one 'title', zero or one 'message', and some other parsed character data.
<?xml version="1.0" ?> <!DOCTYPE APTECH [ <!ELEMENT APTECH (CLASS1 | class2)+> <!element class1 (#pcdata)> <!attlist class1 count cdata #required> <!element class2 (#pcdata)> <!attlist class2 count cdata #required> ]> <trial>electronic goods <class1
<?xml version="1.0" encoding="UTF-8"?> <!DOCTYPE library[ <!ELEMENT library (book)?> <!ELEMENT book (booktitle, author, price)> <!ELEMENT booktitle (#PCDATA)> <!ELEMENT author (#PCDATA) #REQUIRED> <!ELEMENT price (#PCDATA)> ]> <library> <book> <booktitle>The Firm</booktitle> <author>John Grisham</author> <price>99</price> </book> <book> <booktitle>Coma</booktitle> <author>Robin Cook</author> <price>99.5</price> </book> </library> | the xml document is not validation because the book element is larger than one
